Instance;Model_LB;Model_UB;Literature_LB;Literature_UB;Solve_time
a05100;1697,999999999998;1697,999999999998;1698,0;1698,0;46,126
a05200;3146,7975455662195;3474,0;3235,0;3235,0;2489,578
a10100;1359,9999999900008;1361,0;1360,0;1360,0;27,993
a10200;2622,9999999999995;2622,9999999999995;2623,0;2623,0;162,243
a20100;1158,0;1158,0;1158,0;1158,0;2,547
a20200;2338,9999999999986;2338,9999999999986;2339,0;2339,0;32,524
b05100;1838,8372092623251;1872,0;1843,0;1843,0;54,961
b05200;3486,8732309461666;Inf;3552,0;3552,0;2191,962
b10100;1407,0;1407,0;1407,0;1407,0;6,556
b10200;2825,5093749999987;2831,0;2827,0;2827,0;208,9
b20100;1166,0;1166,0;1166,0;1166,0;3,265
b20200;2338,5217390204343;2339,0;2339,0;2339,0;31,474
c05100;1929,666666576665;1933,0;1931,0;1931,0;34,724
c0515_1;260,5;261,0;261,0;261,0;0,157
c0515_2;269,0;269,0;269,0;269,0;0,08
c0515_3;256,0;256,0;256,0;256,0;0,075
c0515_4;274,0;274,0;274,0;274,0;0,077
c0515_5;251,0;251,0;251,0;251,0;0,095
c05200;3390,9412739600357;Inf;3456,0;3456,0;2404,027
c0520_1;277,0;277,0;277,0;277,0;0,122
c0520_2;268,0;269,0;269,0;269,0;0,222
c0520_3;260,0;260,0;260,0;260,0;0,162
c0520_4;267,24999999999994;269,0;269,0;269,0;0,262
c0520_5;267,0;267,0;267,0;267,0;0,199
c0525_1;438,0;438,0;438,0;438,0;0,323
c0525_2;415,0;415,0;415,0;415,0;0,22
c0525_3;445,4000000000001;447,0;446,0;446,0;0,445
c0525_4;428,6666666566664;432,0;430,0;430,0;0,403
c0525_5;411,0;411,0;411,0;411,0;0,229
c0530_1;423,0;423,0;423,0;423,0;0,372
c0530_2;424,0;424,0;424,0;424,0;0,328
c0530_3;425,4999999999999;437,0;426,0;426,0;0,743
c0530_4;395,0;395,0;395,0;395,0;0,347
c0530_5;404,5;421,0;406,0;406,0;0,687
c0824_1;403,0;403,0;403,0;403,0;0,209
c0824_2;389,0;389,0;389,0;389,0;0,178
c0824_3;383,0;383,0;383,0;383,0;0,144
c0824_4;384,0;384,0;384,0;384,0;0,242
c0824_5;395,66666666666663;396,0;396,0;396,0;0,291
c0832_1;525,0;525,0;525,0;525,0;0,283
c0832_2;527,0;528,0;527,0;527,0;0,394
c0832_3;518,6666666666666;519,0;519,0;519,0;0,553
c0832_4;515,5;516,0;516,0;516,0;0,592
c0832_5;521,0;521,0;521,0;521,0;0,365
c0840_1;646,0;646,0;646,0;646,0;0,673
c0840_2;661,7142857442855;662,0;662,0;662,0;1,078
c0840_3;661,9999999999999;661,9999999999999;662,0;662,0;1,134
c0840_4;645,0;645,0;645,0;645,0;0,607
c0840_5;647,9090909390908;650,0;649,0;649,0;1,14
c0848_1;797,0;797,0;797,0;797,0;1,082
c0848_2;782,49999997;789,0;783,0;783,0;2,715
c0848_3;800,0000000000002;804,0;800,0;800,0;2,064
c0848_4;789,0;789,0;789,0;789,0;1,59
c0848_5;791,9999999999995;791,9999999999995;792,0;792,0;1,094
c10100;1399,857142837142;1402,0;1402,0;1402,0;9,058
c10200;2803,9493087357596;2827,0;2806,0;2806,0;614,1
c1030_1;482,0;482,0;482,0;482,0;0,251
c1030_2;476,0;476,0;476,0;476,0;0,261
c1030_3;495,9375;496,0;496,0;496,0;0,466
c1030_4;495,84999999999985;497,0;497,0;497,0;0,479
c1030_5;487,3333333233335;488,0;488,0;488,0;0,438
c10400;5388,071244494812;Inf;5597,0;5597,0;4660,661
c1040_1;637,6666666666667;638,0;638,0;638,0;0,666
c1040_2;638,0000000000002;639,0;638,0;638,0;0,989
c1040_3;653,1666666066667;655,0;654,0;654,0;1,005
c1040_4;635,0;635,0;635,0;635,0;0,767
c1040_5;638,4999999699999;639,0;639,0;639,0;0,695
c1050_1;573,0;573,0;573,0;573,0;0,847
c1050_2;582,3333332633335;583,0;583,0;583,0;1,19
c1050_3;589,0;589,0;589,0;589,0;1,131
c1050_4;576,99999996;578,0;578,0;578,0;1,587
c1050_5;581,0;581,0;581,0;581,0;1,112
c1060_1;973,4642856642856;974,0;974,0;974,0;3,009
c1060_2;956,0;956,0;956,0;956,0;1,318
c1060_3;940,4999999900001;943,0;941,0;941,0;2,687
c1060_4;952,8888888188883;955,0;954,0;954,0;2,397
c1060_5;944,2500000100002;945,9999990071675;945,0;945,0;2,16
c15900;8414,803636604996;Inf;11340,0;11340,0;43323,561
c20100;1241,6666665866662;1243,0;1243,0;1243,0;3,208
